Area da unidade territorial  2016,Estabelecimentos de Saude SUS,Indice de Desenvolvimento Humano Municipal  2010 IDHM 2010,Matricula  Ensino fundamental  2015,Matricula  Ensino medio  2015,Numero de unidades locais,Pessoal ocupado total,PIB per capita a precos correntes  2014,Populacao residente ,Populacao residente  Homens,Populacao residente  Mulheres,Populacao residente alfabetizada,Populacao residente que frequentava creche ou escola ,Populacao residente religiao catolica apostolica romana,Populacao residente religiao espirita,Populacao residente religiao evangelicas,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Rural,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Urbana,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Rural,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Urbana,Cidade
367.688,16,0.692,1808,561,315,1631,9978.22,14661,7433,7228,12439,3982,13423,122,828,381.67,504.67,1820.27,1994.92,Brazopolis
639.434,27,0.747,4683,1251,830,10496,79293.99,33973,17023,16950,29600,9893,25396,355,5816,455.00,510.00,1727.75,3018.70,Brumadinho
356.150,5,0.658,1233,329,209,1088,10269.52,10892,5660,5232,9218,2300,9390,87,1032,315.00,510.00,1220.81,1709.59,Bueno Brandao
1599.881,6,0.669,1273,390,174,1052,9564.04,10292,5166,5126,8127,2780,8456,140,996,309.11,396.40,1217.91,1672.57,Buenopolis
161.906,6,0.627,511,135,44,347,7143.90,3992,2030,1962,3056,1070,2532,-,1128,255.00,339.00,998.13,1154.65,Bugre
5225.186,9,0.672,4088,1047,414,2861,23241.05,22737,11552,11185,17719,7529,16558,29,4387,273.83,370.00,1187.87,1883.61,Buritis
7218.401,17,0.624,3865,941,524,3078,11337.94,26922,13529,13393,21004,8784,19005,50,5494,277.50,287.14,1099.53,1250.03,Buritizeiro
1031.409,2,0.648,1100,296,64,550,27219.67,6453,3395,3058,5072,2056,4579,30,1352,425.00,340.00,1556.82,1238.58,Cabeceira Grande
368.206,6,0.674,1393,341,269,1307,12638.83,13823,7452,6371,11621,3110,10825,26,2638,500.00,510.00,2029.53,1779.58,Cabo Verde
61.381,2,0.741,424,137,104,559,11153.24,3654,1718,1936,3322,952,2054,44,571,370.00,503.33,1762.02,1930.62,Cachoeira da Prata
304.243,11,0.706,1443,410,269,1781,18480.35,11034,5767,5267,9401,2650,9529,28,1127,382.50,492.00,1348.59,1889.17,Cachoeira de Minas
695.672,8,0.578,1536,436,99,1000,7815.37,8959,4510,4449,6180,2703,7644,27,997,178.00,254.40,768.89,1153.24,Cachoeira de Pajeu
200.928,6,0.726,313,84,49,671,22098.66,2505,1254,1251,2043,814,1643,56,556,510.00,510.00,2076.17,1923.52,Cachoeira Dourada
156.039,5,0.706,1390,365,255,2074,19638.44,10218,5115,5103,9017,2741,8273,84,1336,355.00,510.00,1449.05,1762.78,Caetanopolis
542.531,19,0.728,5047,1792,942,6159,13722.64,40750,19827,20923,35874,11118,33336,349,5844,305.00,510.00,1278.39,2145.29,Caete
106.465,6,0.633,651,162,95,514,8695.13,4968,2587,2381,3965,1365,3101,98,1217,264.00,467.50,1165.29,1387.82,Caiana
83.038,3,0.617,576,134,49,479,12674.61,4047,2120,1927,3408,1035,3542,-,477,255.00,340.00,1022.20,1257.52,Cajuri
711.414,7,0.687,1424,404,332,2235,13802.51,13633,6953,6680,11782,2981,11519,57,1425,400.00,510.00,1397.09,2143.36,Caldas
223.001,2,0.690,347,129,34,274,8826.55,3154,1665,1489,2620,724,3071,4,69,300.00,465.00,1087.66,1666.80,Camacho
528.688,7,0.689,2935,819,935,5548,21670.61,21080,10857,10223,17661,5779,15747,161,4020,355.00,510.00,1434.84,2187.11,Camanducaia
244.567,18,0.751,3160,1049,999,7735,26531.75,26488,13233,13255,23170,6621,21345,130,3856,403.33,560.00,1359.06,2236.70,Cambui
246.380,9,0.699,1575,465,288,1708,17619.57,12602,6222,6380,10681,3493,10456,228,1472,351.67,500.00,1500.56,1923.05,Cambuquira
442.398,3,0.616,587,166,60,428,10267.15,3564,1734,1830,2744,1213,3210,-,299,234.00,300.00,1027.86,1275.38,Campanario
335.587,10,0.709,2246,621,482,3020,17287.17,15433,7760,7673,13221,4280,12822,83,2122,439.67,510.00,2736.56,2139.73,Campanha
577.843,6,0.698,2462,547,536,2769,12855.72,20686,10764,9922,17810,5145,16167,17,4074,384.00,510.00,2109.96,2063.46,Campestre
3650.749,8,0.704,2115,708,470,2845,23679.96,19324,9804,9520,16710,4577,17291,423,997,480.00,510.00,1514.69,2105.73,Campina Verde
505.914,3,0.621,621,263,31,284,7554.47,3684,1946,1738,2736,1317,3141,1,337,180.00,255.00,839.15,998.76,Campo Azul
528.225,23,0.711,6148,1629,1722,11822,15450.97,51544,25144,26400,44341,12634,35741,377,13169,409.50,510.00,2650.48,1900.89,Campo Belo
275.426,7,0.683,1483,462,210,1277,9735.05,11476,5829,5647,9675,2870,9034,35,1366,350.00,417.33,1368.33,1539.07,Campo do Meio
1264.245,0,0.706,1237,263,193,2118,43874.91,6870,3679,3191,5748,1971,4094,1178,1165,442.50,562.00,1639.73,2715.97,Campo Florido
710.645,8,0.702,1970,479,422,1980,16962.78,14206,7263,6943,11852,4042,10343,273,2671,510.00,510.00,1913.70,1936.92,Campos Altos
769.504,14,0.682,3595,1059,584,3210,12752.05,27600,14064,13536,22933,8144,24764,159,2291,352.50,450.00,1339.68,1765.29,Campos Gerais
212.721,3,0.650,693,165,84,629,9652.47,5589,2861,2728,4627,1197,3827,6,1653,340.00,412.67,1296.13,1468.21,Cana Verde
174.900,2,0.649,549,119,73,386,9734.86,4628,2374,2254,3785,1089,4131,6,384,305.00,402.50,1308.48,1601.03,Canaa
839.737,6,0.722,1235,262,237,2059,23645.65,11365,5984,5381,9075,2800,8501,393,1441,450.00,510.00,2574.60,2153.99,Canapolis
720.512,9,0.678,1531,436,343,2286,13746.86,14595,7457,7138,12009,3110,12691,93,1481,420.00,510.00,1671.21,1866.82,Candeias
141.855,5,0.631,654,178,71,529,8665.98,4195,2045,2150,3249,1224,3374,-,687,255.00,327.50,1076.04,1209.29,Cantagalo
130.694,4,0.624,826,205,121,550,10376.99,5209,2743,2466,4169,1386,3143,25,1482,255.00,413.33,1000.88,1524.90,Caparao
111.073,2,0.648,597,195,74,463,7911.01,4755,2333,2422,4064,1044,4542,35,145,233.33,400.00,888.73,1384.67,Capela Nova
965.377,17,0.653,6224,1908,1021,7134,13729.68,34803,17145,17658,26198,11562,27312,98,6226,255.00,370.00,1022.44,1756.93,Capelinha
297.937,5,0.675,975,189,284,1026,12975.09,7089,3741,3348,5862,2027,5669,65,974,468.33,505.00,1886.31,1697.41,Capetinga
95.333,8,0.695,1308,297,221,1069,8086.36,8881,4414,4467,7762,2476,6147,144,2175,510.00,411.43,1644.35,1674.03,Capim Branco
620.716,11,0.723,1798,435,393,2651,15352.60,15290,7824,7466,12439,4039,9469,714,3498,500.00,510.00,1581.03,2648.71,Capinopolis
279.088,6,0.624,750,174,71,443,7371.98,4925,2419,2506,3738,1362,3693,3,1035,294.00,300.00,1027.29,1341.56,Capitao Andrade
971.576,10,0.639,2806,783,181,1802,16614.24,14206,7203,7003,10734,4687,11788,11,1547,203.00,252.00,1039.25,1139.37,Capitao Eneas
521.802,7,0.710,1083,277,386,2232,20937.65,8183,4168,4015,7151,2121,6700,72,1035,472.50,552.50,1850.45,1988.79,Capitolio
187.704,9,0.615,1326,309,126,710,8216.05,9030,4640,4390,7237,2411,7428,29,1374,200.00,350.00,1069.17,1426.26,Caputira
1242.345,7,0.558,3853,883,128,1039,5499.98,22343,11299,11044,15262,7818,18527,-,3316,165.00,240.00,896.95,1125.11,Carai
159.950,1,0.634,411,124,29,291,7601.74,3288,1677,1611,2822,874,2920,4,313,277.50,340.00,1079.12,1339.48,Caranaiba
487.280,19,0.697,3069,804,535,4205,21741.26,23346,11561,11785,20167,6089,19062,592,2845,275.00,400.00,1312.61,1770.11,Carandai
353.404,24,0.695,4048,1206,1109,6304,12317.60,32296,15692,16604,27091,8594,20453,558,8735,280.00,510.00,1212.12,1963.35,Carangola
